,SPY,VTV,MTUM,QUAL,USMV,VUG,IJR,TLT,GLD
2017-08-31,0.11160307319198744,0.13343127939824193,0.15547097870883914,0.11132530404859271,0.18417827495475106,0.08973994193826314,0.0728741132248287,0.07771607934609029,0.06366095518840562
2017-11-30,0.15070129259274997,0.1430489208291306,0.17367401862696166,0.15782016631912305,0.13403555528944458,0.11254115390067337,0.06691429874698732,0.06126459369492944,0.0
2018-02-28,0.11352753701539373,0.10427396891026117,0.16234899181383378,0.12741192000088036,0.16102574097264552,0.09339237215112697,0.028783116739490994,0.1475584183105424,0.06167793408582506
2018-05-31,0.13452085556289783,0.09680385376689646,0.1926004102068777,0.14919912147819392,0.1490177918450705,0.1251111512824973,0.09414733751725794,0.058599478340308396,0.0
2018-08-31,0.11573292198085378,0.09243013313485049,0.17345055097052825,0.11296836427652211,0.18252509994133043,0.11537947392324625,0.08243637437312391,0.12507708139954488,5.107796809578315e-18
2018-11-30,0.13895504229402889,0.1439397947394889,0.13777454390043092,0.14918529864191382,0.15659625596560142,0.09957700089829011,0.08838405998050769,0.08558800357973835,0.0
2019-02-28,0.10644495401884685,0.10775462119138576,0.1209496023229898,0.10580429684392982,0.15515212655542251,0.07649814956915763,0.06235776764653397,0.16973246886690627,0.09530601298482726
2019-05-31,0.08334545963617088,0.01772322200718866,0.1992826214061677,0.09687255790372912,0.20949117485638596,0.10118625806153514,0.0043718598403403395,0.2877268462884823,1.3552527156068803e-18
2019-08-31,0.07232616635952846,0.027233342315417852,0.17742999804795376,0.08533298623479606,0.20689903450770067,0.08874875015223535,1.5348237004247922e-18,0.30023814102790564,0.041791581354462294
2019-11-30,0.1572810779031335,0.14149024795409318,0.16262031525697104,0.15105180133850257,0.14960739073063928,0.14745785829546895,0.0904913085211915,9.787441737591344e-18,0.0
2020-02-29,0.09019860938055008,0.021586721498738425,0.19009174713604335,0.1026617111944423,0.20927105658275225,0.11767554750615924,1.9919342214288127e-18,0.2685146067013145,1.7925475918427005e-17
2020-05-31,0.14353487723001654,0.07669850822486098,0.22698749247625805,0.11850742250888416,0.12776316276772492,0.20790529431960705,0.09860324247264825,2.5298050691328434e-19,7.950815931560366e-19
2020-08-31,0.12594024553122113,0.006246262687080468,0.27475162847201196,0.10165780984180886,0.12907141720728593,0.19818174440798855,0.0012034667041642627,2.303929616531697e-19,0.16294742514843877
2020-11-30,0.13603211861931858,0.1950086758813285,0.054590611128158016,0.11940815023415008,0.1280555242868114,0.06880746521173549,0.2068552625829338,0.09124219205556416,0.0
2021-02-28,0.1632676582790378,0.26847833824756195,0.027584099973088517,0.14211673953669635,0.09911624620193095,0.06569779537695866,0.23373912238472572,2.6096173614334197e-17,0.0
2021-05-31,0.1394374927036421,0.22191569568047873,0.02037089041585303,0.11042552974847437,0.08896435973965132,0.059545621403924325,0.16393489110075188,0.0,0.19540551920722438
2021-08-31,0.13175271708260722,0.09815173688358228,0.18362416680069515,0.12045043451712345,0.15272349575800037,0.13706824789368768,0.056147421011578894,0.07144986305560098,0.048631916997124
2021-11-30,0.12505882983105476,0.08985787697948738,0.14639593905700812,0.11096568236060846,0.1586030437811623,0.1257117637854131,0.036560065735355744,0.20684679846991008,0.0
2022-02-28,0.117880842162851,0.19300327850056745,0.05438528312056916,0.09228351547794965,0.048367861563180396,0.0585016988181756,0.19728091038684886,8.59772322781005e-17,0.23829660996985785
2022-05-31,0.13803554946787722,0.19152807243501935,0.11178535244615594,0.11724940985676413,0.12602266362678569,0.09334009818541829,0.19816455663069016,1.3891340334970526e-18,0.023874297351289268
2022-08-31,0.0982278870870934,0.12156855741956579,0.11939230450268627,0.08883555400156673,0.13996781387876242,0.06672379038391599,0.09078090286989797,0.10969970787275785,0.1648034819837536
2022-11-30,0.1194246524295818,0.15384891292472924,0.10333338275687803,0.10555409335718874,0.15673899626621343,0.07747239256609569,0.09457954167466663,0.06247373407016498,0.1265742939544815
2023-02-28,0.13512419249865523,0.1260520489726872,0.12057047388272078,0.11975938957087554,0.13652702435715966,0.11031661318069894,0.12018907940738588,0.09095073359788884,0.0405104445319279
2023-05-31,0.17454785137846512,0.05000181964719453,0.1472399200092324,0.1475862859694935,0.10685988529902672,0.24078145221495426,0.04686231779159928,0.015979492215861056,0.07014097547417325
2023-08-31,0.0984754958521487,0.07218270299428595,0.14695877471221386,0.08899769969405324,0.14306628502390598,0.11103187362023036,0.027088229078687028,0.12803826884623917,0.18416067017823562
2023-11-30,0.12055808785842244,0.02276553897639044,0.14514826296975855,0.1154282402381235,0.1156595135379605,0.19127381729740459,0.05192539276575475,0.2372411463561852,4.9258918703258077e-17
2024-02-29,0.13168285052646203,0.04618818957904718,0.23223993390492742,0.12094805604550478,0.13394819312073938,0.1829732199352958,0.028745962165590583,0.0,0.12327359472243272
2024-05-31,0.1522078101335828,0.09975046287298583,0.18039186541933186,0.14324415079598737,0.07744608674477191,0.1774638080326394,0.08201747326452603,0.08747834273617487,0.0
2024-08-31,0.10533304298512144,0.09910426798946038,0.1324653727134946,0.10198197113995708,0.17062498341322552,0.10030622594025464,0.015068267542578147,0.13997086827134994,0.1351450000045583
2024-11-30,0.11941498928109082,0.10299722333862357,0.11969444597338608,0.108110445052116,0.10862960189438933,0.12392362888779747,0.16800107472059744,0.14922859085199935,1.8539857149502126e-17
2025-02-28,0.08467727327163886,0.11966173953916168,0.09514843405524342,0.08753368982230991,0.20054583821130603,0.05216795769856763,0.007917451614199126,0.2813386705556197,0.07100894523195382
2025-05-31,0.17337350071413632,0.0,0.2970715189344896,0.14570518894987408,0.01623443291730519,0.3489064489965572,0.01639692143815055,0.0,0.0023119880494870985
2025-08-31,0.1211194448316005,0.19584163564097523,0.057015187671406196,0.09671387804913888,0.108360063731421,0.0481960888413897,0.2129164778890057,1.7672495411513722e-17,0.15983722334506284
2025-11-30,0.09783665379615306,0.21391611222340162,0.02182939832058619,0.08232184746081712,0.14749244679998316,0.000625788128392747,0.15236990802035089,0.0,0.28360784525031507
2026-02-28,0.030133590625290734,0.26249925034093047,2.1141942363467336e-18,0.03572835140691708,0.18988494183700383,0.0,0.16834776848082408,2.710505431213761e-19,0.31340609730903385
