date,return,cum_ret
2017-08-31,0.007969858116735767,0.007969858116735784
2017-11-30,0.03094635976550517,0.039162855978801314
2018-02-28,-0.029904043381990614,0.008087684852658095
2018-05-31,0.03240557504138597,0.0407553459724479
2018-08-31,0.038519776938733104,0.08084500974710052
2018-11-30,0.01903605587745334,0.10142003574751302
2019-02-28,0.021391891164467592,0.12498149327858776
2019-05-31,0.0171735317521977,0.14430139867404246
2019-08-31,0.06133247124170611,0.2144842313000621
2019-11-30,0.034139657781231444,0.255946307337348
2020-02-29,-0.01765853445047771,0.23376813620128112
2020-05-31,0.05356044917288363,0.29984931175141316
2020-08-31,0.0815381996668495,0.4058366844698167
2020-11-30,0.14965196344338066,0.6162229045814571
2021-02-28,0.040538349627755765,0.6817419137637672
2021-05-31,0.03303341397540564,0.7372955906009167
2021-08-31,0.02564012902047023,0.7818400736906181
2021-11-30,-0.0043206428141144585,0.7741413791803256
2022-02-28,0.0021818316015957233,0.77801225690712
2022-05-31,0.010986444535298234,0.7975462899507106
2022-08-31,-0.035732298745487445,0.7333158289093493
2022-11-30,0.05912970898291725,0.8358062894482432
2023-02-28,-0.030022322668174162,0.7806911206701646
2023-05-31,0.019268723354003075,0.8150027652532874
2023-08-31,-0.00964925627391237,0.7974893384334989
2023-11-30,0.09930215909807108,0.9759839106957089
2024-02-29,0.07647657124704457,1.127100385025043
2024-05-31,0.04851113488597188,1.2302884387189956
2024-08-31,0.031127712324415243,1.2997122156399095
2024-11-30,0.06883339560776593,1.4580092163630636
2025-02-28,0.03506453310066121,1.5441981618919565
2025-05-31,0.0946712665065313,1.785060624121857
2025-08-31,0.05026191219817987,1.9250430966780776
2025-11-30,0.0286194021022331,2.0087560812282685
2026-02-28,0.05449597593309173,2.1727211802194275
