date,hmm_state,risk_aversion
2017-08-31,1,0.5
2017-11-30,0,0.5
2018-02-28,0,0.5
2018-05-31,1,0.5
2018-08-31,1,0.5
2018-11-30,0,0.5
2019-02-28,1,0.5
2019-05-31,1,0.5
2019-08-31,1,0.5
2019-11-30,1,0.5
2020-02-29,1,0.5
2020-05-31,2,1.0
2020-08-31,1,0.5
2020-11-30,0,0.5
2021-02-28,2,1.0
2021-05-31,0,0.5
2021-08-31,2,1.0
2021-11-30,0,0.5
2022-02-28,2,1.0
2022-05-31,0,0.5
2022-08-31,2,1.0
2022-11-30,2,1.0
2023-02-28,2,1.0
2023-05-31,1,0.5
2023-08-31,1,0.5
2023-11-30,1,0.5
2024-02-29,1,0.5
2024-05-31,2,1.0
2024-08-31,1,0.5
2024-11-30,0,0.5
2025-02-28,1,0.5
2025-05-31,1,0.5
2025-08-31,1,0.5
2025-11-30,2,1.0
2026-02-28,0,0.5
